ID,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
48,American Crime Story,2021,8.4,"87,503","Biography, Crime, Drama",42,Series,TV0MA,30,Moderate,Severe,Severe,Moderate,Severe
49,CSI: Vegas,2021,7.8,"1,313",Crime,None,Series,TV014,10,No Rate,No Rate,No Rate,No Rate,No Rate
50,Stranger Things,2021,8.7,"918,729","Drama, Fantasy, Horror",51,Series,TV014,34,Mild,Moderate,Moderate,Mild,Moderate
51,Titans,2021,7.6,"82,808","Action, Adventure, Crime",45,Series,TV0MA,37,Moderate,Severe,Severe,Mild,Moderate
52,Goliath,2021,8.2,"40,575",Drama,60,Series,TV0MA,32,Moderate,Moderate,Severe,Severe,Moderate
53,Breaking Bad,2021,9.4,"1,593,305","Crime, Drama, Thriller",49,Series,TV0MA,62,Mild,Severe,Moderate,Severe,Severe
54,On My Block,2021,8,"13,772","Comedy, Drama",30,Series,TV014,38,Mild,Moderate,Moderate,Moderate,Mild
55,Old,2021,5.8,"52,713","Drama, Horror, Mystery",108,Film,PG013,0,Mild,Moderate,Mild,None,Moderate
56,Y: The Last Man,2021,6.3,"7,780","Action, Adventure, Drama",60,Series,TV014,10,Mild,Moderate,Moderate,No Rate,No Rate
57,The Rookie,2021,8,"27,281","Comedy, Crime, Drama",43,Series,TV014,59,Mild,Moderate,Mild,Moderate,Mild
58,No One Gets Out Alive,2021,5.3,"7,573","Drama, Horror, Mystery",85,Film,R,0,None,Severe,Severe,No Rate,Severe
59,Law & Order: Special Victims Unit,2021,8,"92,115","Crime, Drama, Mystery",60,Series,TV014,502,Moderate,Moderate,Moderate,Moderate,Severe
60,Hocus Pocus,1993,6.9,"110,741","Comedy, Family, Fantasy",96,Film,PG,0,Mild,Mild,Mild,Mild,Moderate
61,The Office,1993,8.9,"475,207",Comedy,22,Series,TV014,188,Mild,None,Mild,Mild,None
62,Chicago Fire,1993,8,"46,774","Action, Drama",43,Series,TV014,202,Mild,Moderate,Mild,Mild,Mild
63,Dune,1984,6.4,"142,157","Action, Adventure, Sci0Fi",137,Film,PG013,0,Mild,Moderate,None,Mild,Moderate
64,You,1984,7.7,"173,763","Crime, Drama, Romance",45,Series,TV0MA,31,Moderate,Moderate,Mild,Mild,Moderate
65,Den skyldige,2018,7.5,"52,965","Crime, Drama, Thriller",85,Film,R,0,None,None,Mild,None,Moderate
66,Quantum of Solace,2008,6.6,"424,649","Action, Adventure, Thriller",106,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
67,Doom Patrol,2008,7.9,"43,676","Action, Adventure, Comedy",60,Series,TV0MA,35,Moderate,Severe,Severe,Mild,Moderate
68,Yellowstone,2008,8.6,"48,060","Drama, Western",60,Series,TV0MA,32,Moderate,Moderate,Severe,Moderate,Moderate
69,The Suicide Squad,2021,7.3,"224,344","Action, Adventure, Comedy",132,Film,R,0,Moderate,Severe,Severe,Moderate,Severe
70,Friends,2021,8.8,"903,947","Comedy, Romance",22,Series,TV0PG,235,Mild,None,Mild,Mild,None
71,Eternals,2021,No Rate,No Votes,"Action, Adventure, Drama",157,Film,PG013,0,No Rate,No Rate,No Rate,No Rate,No Rate
72,Brooklyn Nine0Nine,2021,8.4,"267,096","Comedy, Crime",22,Series,TV014,153,Mild,Mild,Mild,Mild,Mild
73,Cruella,2021,7.4,"174,071","Adventure, Comedy, Crime",134,Film,PG013,0,None,Mild,Mild,Mild,Mild
74,The Blacklist,2021,8,"219,628","Crime, Drama, Mystery",43,Series,TV014,177,None,Moderate,Mild,Mild,Mild
75,Supernatural,2021,8.4,"411,255","Drama, Fantasy, Horror",44,Series,TV014,327,Mild,Moderate,Mild,Mild,Moderate
76,Downton Abbey,2021,8.7,"180,688","Drama, Romance",58,Series,TV0PG,52,Mild,Mild,Mild,Mild,Mild
77,Animal Kingdom,2021,8.2,"30,515","Crime, Drama",60,Series,TV0MA,75,Moderate,Moderate,Moderate,Severe,Moderate
78,Criminal Minds,2021,8.1,"177,854","Crime, Drama, Mystery",42,Series,TV014,323,Mild,Severe,Mild,Mild,Severe
79,Halloween,1978,7.7,"248,788","Horror, Thriller",91,Film,R,0,Moderate,Moderate,Mild,Mild,Severe
80,Vigil,1978,7.3,"10,126","Crime, Drama, Mystery",None,Series,TV0MA,6,Mild,Moderate,Moderate,Moderate,Moderate
81,Infinite,2021,5.5,"32,451","Action, Sci0Fi, Thriller",106,Film,PG013,0,None,Moderate,Moderate,Mild,Moderate
82,V/H/S/94,2021,5.5,"3,196","Horror, Mystery, Thriller",103,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
83,The Good Doctor,2021,8.1,"78,703",Drama,41,Series,TV014,80,Mild,Moderate,Mild,Mild,Mild
84,Dexter,2021,8.6,"678,377","Crime, Drama, Mystery",53,Series,TV0MA,96,Moderate,Severe,Severe,Mild,Severe
85,The Green Knight,2021,6.6,"53,565","Adventure, Drama, Fantasy",130,Film,R,0,Moderate,Moderate,None,Mild,Moderate
86,Last Man Down,2021,No Rate,No Votes,Action,87,Film,R,0,No Rate,No Rate,No Rate,No Rate,No Rate
87,The French Dispatch,2021,7.4,"1,370","Comedy, Drama, Romance",108,Film,R,0,Moderate,Mild,Moderate,Moderate,Mild
88,The Boys,2021,8.7,"316,047","Action, Crime, Drama",60,Series,TV0MA,24,Severe,Severe,Severe,Moderate,Severe
89,Ridley Road,2021,6.6,704,Thriller,None,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate
90,Vikings,2021,8.5,"472,761","Action, Adventure, Drama",44,Series,TV0MA,93,Severe,Severe,Mild,Mild,Severe
91,Spider0Man: No Way Home,2021,No Rate,No Votes,"Action, Adventure, Sci0Fi",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
92,Silent Witness,2021,7.8,"7,917","Crime, Drama, Mystery",120,Series,TV014,232,Severe,Severe,Moderate,Moderate,Severe
93,Ghosts,2021,7,"1,343","Comedy, Fantasy",None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
94,The Card Counter,2021,6.2,"9,236","Crime, Drama, Thriller",111,Film,R,0,Moderate,Moderate,Moderate,Mild,Severe
95,Lamb,2021,6.7,"2,251","Drama, Horror, Mystery",106,Film,R,0,Moderate,Moderate,Mild,Mild,Moderate
96,Midsomer Murders,2021,7.8,"28,198","Crime, Drama, Mystery",90,Series,TV014,132,Mild,Moderate,Mild,Mild,Moderate
97,Rick and Morty,2021,9.2,"436,882","Animation, Adventure, Comedy",23,Series,TV0MA,52,Moderate,Severe,Severe,Severe,Moderate
98,After We Fell,2021,5,"2,719",Drama,98,Film,R,0,Moderate,Mild,Moderate,Moderate,Mild
99,Riverdale,2021,6.7,"130,524","Crime, Drama, Mystery",45,Series,TV014,98,Moderate,Moderate,Mild,Moderate,Moderate
100,The Harder They Fall,2021,5.2,315,"Drama, Western",130,Film,R,0,Mild,Severe,Moderate,Moderate,Severe
101,Licorice Pizza,2021,No Rate,No Votes,"Comedy, Drama",None,Film,R,0,No Rate,No Rate,No Rate,No Rate,No Rate
102,Chicago Med,2021,7.6,"20,080",Drama,43,Series,TV014,126,Mild,Moderate,Mild,Mild,Moderate
103,The Lost Symbol,2021,6.7,"2,851","Action, Adventure, Drama",None,Series,TV0PG,8,None,Mild,Mild,None,Mild
104,Star Wars: Visions,2021,7.2,"9,175","Animation, Action, Adventure",None,Series,TV0PG,9,None,Mild,None,No Rate,Mild
105,Promising Young Woman,2020,7.5,"132,936","Crime, Drama, Thriller",113,Film,R,0,Mild,Moderate,Severe,Moderate,Moderate
106,Modern Family,2020,8.4,"388,093","Comedy, Drama, Romance",22,Series,TV0PG,250,Mild,None,Mild,Mild,None
107,The Mandalorian,2020,8.8,"359,850","Action, Adventure, Sci0Fi",40,Series,TV014,24,None,Moderate,None,None,Moderate
108,Queenpins,2021,6.2,"3,525","Comedy, Crime",110,Film,R,0,None,None,Moderate,None,None
109,The Big Bang Theory,2021,8.1,"753,761","Comedy, Romance",22,Series,TV0PG,280,Mild,None,Mild,Mild,None
110,The Wire,2021,9.3,"306,334","Crime, Drama, Thriller",59,Series,TV0MA,60,Severe,Severe,Severe,Severe,Severe
111,Doctor Who,2021,8.6,"207,605","Adventure, Drama, Family",45,Series,TV0PG,200,None,Mild,Mild,None,Moderate
112,Candyman,2021,6,"35,936","Horror, Thriller",91,Film,R,0,None,Severe,Moderate,Mild,Severe
113,The White Lotus,2021,7.7,"37,058","Comedy, Drama",353,Series,TV0MA,7,Moderate,Mild,Moderate,Severe,None
114,The Witcher,2021,8.2,"353,732","Action, Adventure, Fantasy",60,Series,TV0MA,17,Severe,Severe,Moderate,Mild,Moderate
115,The Starling,2021,6.3,"6,994","Comedy, Drama",102,Film,PG013,0,Mild,None,Mild,Mild,None
116,Kate,2021,6.3,"41,301","Action, Adventure, Crime",106,Film,R,0,Mild,Severe,Severe,Mild,Moderate
117,The Sandman,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Series,None,11,No Rate,No Rate,No Rate,No Rate,No Rate
118,Knives Out,2019,7.9,"537,031","Comedy, Crime, Drama",130,Film,PG013,0,None,Mild,Moderate,Mild,Mild
119,New Amsterdam,2019,8.1,"30,554",Drama,43,Series,TV014,61,Mild,Moderate,Mild,Moderate,Moderate
120,Cry Macho,2021,5.8,"13,148","Drama, Thriller, Western",104,Film,PG013,0,Mild,Mild,Moderate,Mild,Mild
121,Castle,2021,8.1,"146,732","Comedy, Crime, Drama",43,Series,TV014,173,Mild,Moderate,Mild,Mild,Moderate
122,Black Mirror,2021,8.8,"482,062","Drama, Sci0Fi, Thriller",60,Series,TV0MA,22,Severe,Severe,Severe,Mild,Severe
123,Law & Order: Organized Crime,2021,7.6,"4,267","Crime, Drama, Mystery",None,Series,TV014,14,Mild,Moderate,Moderate,Moderate,Moderate
124,Till Death,2021,5.8,"12,586","Horror, Thriller",88,Film,R,0,Mild,Severe,Moderate,Mild,Moderate
125,The Voyeurs,2021,5.9,"10,281","Drama, Mystery, Thriller",120,Film,R,0,Severe,Moderate,Mild,Moderate,Moderate
126,The Crown,2021,8.6,"176,135","Biography, Drama, History",58,Series,TV0MA,60,Moderate,Mild,Mild,Mild,Mild
127,Better Call Saul,2021,8.8,"359,684","Crime, Drama",46,Series,TV0MA,63,Mild,Moderate,Moderate,Moderate,Moderate
128,The Handmaid's Tale,2021,8.4,"204,512","Drama, Sci0Fi, Thriller",60,Series,TV0MA,47,Severe,Severe,Moderate,Mild,Severe
129,Lost,2021,8.3,"520,422","Adventure, Drama, Fantasy",44,Series,TV014,119,Mild,Moderate,Mild,Moderate,Moderate
130,Outlander,2021,8.4,"138,887","Drama, Fantasy, Romance",64,Series,TV0MA,87,Severe,Severe,Moderate,Mild,Moderate
131,The Simpsons,2021,8.6,"381,626","Animation, Comedy",22,Series,TV0PG,731,Moderate,Moderate,Mild,Moderate,Mild
132,Dear Evan Hansen,2021,6,"5,468","Drama, Musical",137,Film,PG013,0,Mild,None,Mild,Mild,Mild
133,CSI: Crime Scene Investigation,2021,7.6,"80,011","Crime, Drama, Mystery",60,Series,TV014,336,Mild,Severe,Mild,Mild,Moderate
134,Loki,2021,8.3,"208,457","Action, Adventure, Fantasy",None,Series,TV014,7,None,Moderate,Mild,None,Moderate
135,It's Always Sunny in Philadelphia,2021,8.8,"201,983",Comedy,22,Series,TV0MA,157,Moderate,Mild,Severe,Severe,Mild
136,Hypnotic,2021,No Rate,No Votes,"Drama, Horror, Thriller",88,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
137,Superstore,2021,7.8,"39,602",Comedy,22,Series,TV014,113,Mild,Mild,Mild,Mild,None
138,The Resident,2021,7.7,"22,186",Drama,60,Series,TV014,76,Mild,Mild,Mild,Mild,Mild
139,Gisaengchung,2019,8.6,"669,620","Comedy, Drama, Thriller",132,Film,R,0,Moderate,Severe,Moderate,Mild,Moderate
140,Mr. Robot,2019,8.5,"354,297","Crime, Drama, Thriller",49,Series,TV0MA,45,Moderate,Severe,Severe,Severe,Severe
141,Last Night in Soho,2021,7.4,"1,122","Drama, Horror, Mystery",116,Film,R,0,Moderate,Moderate,Moderate,Mild,Moderate
142,Titanic,1997,7.8,"1,096,676","Drama, Romance",194,Film,PG013,0,Moderate,Moderate,Moderate,Mild,Severe
143,Shiddat,2021,8,"8,066",Romance,146,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
144,Scream,2022,No Rate,No Votes,"Horror, Mystery, Thriller",120,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
145,Ozark,2022,8.4,"214,799","Crime, Drama, Thriller",60,Series,TV0MA,44,Severe,Severe,Severe,Severe,Severe
146,Rise of the Footsoldier: Origins,2021,6.4,"1,894","Action, Crime, Drama",107,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
147,F9,2021,5.2,"97,696","Action, Adventure, Crime",143,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
148,Shingeki no kyojin,2021,9,"255,267","Animation, Action, Adventure",24,Series,TV0MA,86,Mild,Severe,Moderate,Mild,Severe
149,365 dni,2020,3.3,"67,739","Drama, Romance",114,Film,TV0MA,0,Severe,Mild,Moderate,Moderate,Mild
150,Archer,2020,8.6,"144,917","Animation, Action, Comedy",22,Series,TV0MA,135,Moderate,Severe,Severe,Severe,Moderate
151,How I Met Your Mother,2020,8.3,"635,038","Comedy, Romance",22,Series,TV014,208,Moderate,None,Mild,Moderate,None
152,Chehre,2021,6.6,"21,358","Drama, Mystery, Thriller",139,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
153,Young Sheldon,2021,7.5,"41,356",Comedy,30,Series,TV0PG,90,Mild,None,Mild,Mild,None
154,The Batman,2022,No Rate,No Votes,"Action, Crime, Drama",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
155,Black Mafia Family,2022,6.8,930,"Biography, Crime, Drama",None,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate
156,Manifest,2022,7.1,"39,468","Drama, Mystery, Sci0Fi",43,Series,TV014,62,Mild,Mild,Mild,None,Mild
157,S.W.A.T.,2022,7.1,"18,353","Action, Adventure, Crime",43,Series,TV014,89,Mild,Moderate,Mild,Mild,Moderate
