ID,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
614,Mass,2021,7.9,526,Drama,110,Film,PG013,0,None,Mild,Moderate,None,Severe
615,Jaguar,2021,5.7,"1,129","Action, Drama, History",50,Series,TV014,6,No Rate,No Rate,No Rate,No Rate,No Rate
616,Birds of Paradise,2021,5.8,"1,224",Drama,113,Film,R,0,Mild,Mild,Moderate,Severe,Mild
617,The Girl Next Door,2004,6.7,"215,790","Comedy, Drama, Romance",109,Film,R,0,Moderate,Mild,Severe,Mild,None
618,A Discovery of Witches,2004,8,"38,749","Drama, Fantasy, Romance",60,Series,TV0MA,20,Mild,Moderate,Mild,Mild,Moderate
619,Don't Breathe,2016,7.1,"252,617","Crime, Horror, Thriller",88,Film,R,0,Moderate,Severe,Severe,Mild,Severe
620,We're the Millers,2013,7,"423,818","Comedy, Crime",110,Film,R,0,Moderate,Mild,Severe,Severe,None
621,Saving Private Ryan,1998,8.6,"1,296,420","Drama, War",169,Film,R,0,None,Severe,Moderate,Mild,Severe
622,The Grand Budapest Hotel,2014,8.1,"748,244","Adventure, Comedy, Crime",99,Film,R,0,Moderate,Moderate,Moderate,Mild,Mild
623,The Invisible Man,2020,7.1,"194,020","Drama, Horror, Mystery",124,Film,R,0,None,Severe,Moderate,Mild,Severe
624,Ida Red,2021,5.5,331,"Action, Thriller",111,Film,R,0,No Rate,No Rate,No Rate,No Rate,No Rate
625,The VVitch: A New0England Folktale,2015,6.9,"224,807","Drama, Horror, Mystery",92,Film,R,0,Moderate,Severe,Mild,None,Severe
626,Letterkenny,2015,8.6,"16,915",Comedy,30,Series,TV0MA,61,Mild,Mild,Severe,Severe,None
627,The King,2019,7.2,"102,513","Biography, Drama, History",140,Film,R,0,Mild,Severe,Moderate,Mild,Moderate
628,Ready or Not,2019,6.9,"128,678","Action, Comedy, Horror",95,Film,R,0,None,Severe,Severe,Moderate,Moderate
629,Green Lantern,2011,5.5,"276,068","Action, Adventure, Sci0Fi",114,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
630,Nomadland,2020,7.4,"129,585",Drama,107,Film,R,0,Mild,None,Mild,Mild,None
631,Barry Lyndon,1975,8.1,"158,934","Adventure, Drama, History",185,Film,PG,0,Moderate,Moderate,None,Mild,Moderate
632,RetfÃ¦rdighedens ryttere,2020,7.6,"29,167","Action, Comedy, Drama",116,Film,Not Rated,0,Moderate,Moderate,Moderate,Moderate,Moderate
633,The Hangover,2009,7.7,"744,824",Comedy,100,Film,R,0,Moderate,Mild,Severe,Moderate,Mild
634,What We Do in the Shadows,2014,7.7,"169,214","Comedy, Horror",86,Film,R,0,Mild,Moderate,Moderate,Mild,Mild
635,Raya and the Last Dragon,2021,7.4,"118,087","Animation, Action, Adventure",107,Film,PG,0,None,Mild,None,None,Mild
636,Lolita,1997,6.9,"55,502","Drama, Romance",137,Film,R,0,Moderate,Mild,Mild,Mild,Mild
637,The Amazing Spider0Man,2012,6.9,"583,453","Action, Adventure, Fantasy",136,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
638,Final Destination,2000,6.7,"240,824","Horror, Thriller",98,Film,R,0,Mild,Severe,Moderate,Mild,Severe
639,The West Wing,2000,8.8,"69,122",Drama,44,Series,TV014,155,None,Mild,Mild,Mild,Moderate
640,Donnie Darko,2001,8,"765,552","Drama, Mystery, Sci0Fi",113,Film,R,0,Mild,Moderate,Moderate,Moderate,Moderate
641,Shershaah,2021,8.7,"104,091","Action, Biography, Drama",135,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
642,Person of Interest,2021,8.4,"168,671","Action, Crime, Drama",43,Series,TV014,103,Mild,Moderate,Mild,Mild,Moderate
643,Leverage,2021,7.9,"48,473","Crime, Mystery, Thriller",42,Series,TV0PG,77,Mild,Mild,Mild,Mild,Mild
644,The O.C.,2021,7.5,"84,566","Comedy, Drama, Romance",44,Series,TV0PG,92,Mild,Moderate,Mild,Moderate,Moderate
645,His Dark Materials,2021,7.9,"57,730","Adventure, Drama, Family",60,Series,TV014,23,None,Mild,Mild,Mild,Mild
646,Married with Children,2021,8,"99,818",Comedy,22,Series,TV0PG,262,Mild,None,Mild,Mild,None
647,The Good Wife,2021,8.3,"71,292","Crime, Drama, Mystery",43,Series,TV014,156,Moderate,Moderate,Mild,Mild,Mild
648,Licence to Kill,1989,6.6,"99,665","Action, Adventure, Thriller",133,Film,PG013,0,Mild,Moderate,Mild,Moderate,Moderate
649,Grave,2016,7,"67,307","Drama, Horror",99,Film,R,0,Severe,Severe,Moderate,Moderate,Severe
650,Harry Potter and the Goblet of Fire,2005,7.7,"576,173","Adventure, Family, Fantasy",157,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
651,Freaky,2020,6.4,"44,790","Comedy, Horror, Thriller",102,Film,R,0,Mild,Severe,Severe,Mild,Moderate
652,The Cleaner,2020,7,"1,509",Comedy,30,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
653,The Expendables 4,2020,No Rate,No Votes,"Action, Adventure, Thriller",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
654,Grace and Frankie,2020,8.2,"44,246",Comedy,30,Series,TV0MA,94,Mild,None,Moderate,Moderate,None
655,Madres,2021,4.7,593,Horror,83,Film,Not Rated,0,Mild,Mild,Mild,Severe,Mild
656,Shutter Island,2010,8.2,"1,201,153","Mystery, Thriller",138,Film,R,0,Mild,Severe,Moderate,Moderate,Severe
657,Under Wraps,2021,4.7,369,"Family, Fantasy",91,Film,TV0Y7,0,No Rate,No Rate,No Rate,No Rate,No Rate
658,Entourage,2021,8.4,"162,851","Comedy, Drama",28,Series,TV0MA,96,Moderate,Mild,Severe,Severe,None
659,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"805,570","Adventure, Fantasy, Mystery",130,Film,PG013,0,None,Moderate,Mild,None,Moderate
660,Avatar,2009,7.8,"1,158,903","Action, Adventure, Fantasy",162,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
661,The Flight Attendant,2009,7.1,"37,353","Comedy, Drama, Mystery",None,Series,TV0MA,9,Mild,Moderate,Moderate,Severe,Mild
662,The Princess Bride,1987,8.1,"409,486","Adventure, Family, Fantasy",98,Film,PG,0,None,Mild,Mild,None,Mild
663,The Last of Us,1987,No Rate,No Votes,"Action, Adventure, Drama",None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
664,The Mummy,1999,7,"408,196","Action, Adventure, Fantasy",124,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
665,Super Mario Bros.,1993,4.1,"52,230","Adventure, Comedy, Family",104,Film,PG,0,Mild,Mild,Mild,Mild,Moderate
666,Elementary,1993,7.9,"105,288","Crime, Drama, Mystery",60,Series,TV014,154,Mild,Moderate,Mild,Mild,No Rate
667,Star Trek: Picard,1993,7.5,"50,155","Action, Adventure, Drama",46,Series,TV0MA,21,Mild,Moderate,Moderate,Mild,Moderate
668,The Addams Family,1993,7.9,"16,046","Comedy, Family, Horror",30,Series,TV0G,64,None,None,None,Mild,None
669,Scream 2,1997,6.2,"165,426","Horror, Mystery",120,Film,R,0,Mild,Severe,Moderate,Mild,Severe
670,A.P. Bio,1997,7.4,"12,589",Comedy,21,Series,TV014,42,Mild,Mild,Mild,Mild,None
671,Into the Night,1997,7.1,"27,656","Drama, Sci0Fi, Thriller",None,Series,TV0MA,12,Mild,Mild,Moderate,Mild,Mild
672,In the Dark,1997,7.5,"7,689","Action, Crime, Horror",42,Series,TV014,41,Moderate,Moderate,Moderate,Moderate,Moderate
673,The Hunt,2020,6.5,"90,206","Action, Horror, Thriller",90,Film,R,0,None,Severe,Severe,Mild,Severe
674,Tomb Raider,2018,6.3,"203,315","Action, Adventure, Fantasy",119,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
675,The Prestige,2006,8.5,"1,249,036","Drama, Mystery, Sci0Fi",130,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
676,Spider0Man: Into the Spider0Verse,2018,8.4,"431,235","Animation, Action, Adventure",117,Film,PG,0,None,Mild,Mild,None,Mild
677,Orphan,2009,7,"203,890","Horror, Mystery, Thriller",123,Film,R,0,Moderate,Severe,Moderate,Mild,Severe
678,The Hills Have Eyes,2006,6.4,"164,444","Horror, Thriller",107,Film,R,0,Severe,Severe,Severe,Mild,Severe
679,Jumper,2008,6.1,"295,834","Action, Adventure, Sci0Fi",88,Film,PG013,0,Mild,Moderate,Moderate,Mild,Moderate
680,Banshee,2008,8.4,"93,482","Action, Crime, Drama",60,Series,TV0MA,38,Severe,Severe,Severe,Moderate,Severe
681,Atypical,2008,8.3,"77,210","Comedy, Drama",30,Series,TV0MA,38,Mild,None,Mild,Mild,None
682,God's Not Dead: We the People,2021,3.7,234,Drama,110,Film,PG,0,No Rate,No Rate,No Rate,No Rate,No Rate
683,Us,2019,6.8,"258,396","Horror, Mystery, Thriller",116,Film,R,0,None,Severe,Moderate,Mild,Severe
684,Sicario,2015,7.6,"396,825","Action, Crime, Drama",121,Film,R,0,Mild,Severe,Severe,Moderate,Severe
685,Dynasty,2015,7.3,"17,568",Drama,42,Series,TV014,108,Mild,Mild,Mild,Mild,Mild
686,Whiplash,2014,8.5,"767,273","Drama, Music",106,Film,R,0,None,Mild,Severe,Mild,Moderate
687,Sabrina the Teenage Witch,2014,6.7,"36,488","Comedy, Family, Fantasy",22,Series,TV0G,163,None,None,None,None,None
688,Boogie Nights,1997,7.9,"251,062",Drama,155,Film,R,0,Severe,Moderate,Severe,Severe,Moderate
689,Deadpool 2,2018,7.7,"520,665","Action, Adventure, Comedy",119,Film,R,0,Moderate,Severe,Severe,Moderate,Moderate
690,Copshop,2021,6.4,"5,502","Action, Crime, Thriller",107,Film,R,0,Mild,Severe,Severe,Mild,Moderate
691,Fright Night,1985,7.1,"65,518","Fantasy, Horror, Thriller",106,Film,R,0,Moderate,Severe,Moderate,Mild,Moderate
692,It Chapter Two,2019,6.5,"231,670","Drama, Fantasy, Horror",169,Film,R,0,Mild,Severe,Severe,Mild,Severe
693,Another Life,2019,5,"28,031","Adventure, Drama, Mystery",43,Series,TV0MA,20,Mild,Moderate,Severe,Mild,Mild
694,Taboo,2019,8.4,"121,403","Drama, Mystery, Thriller",59,Series,TV0MA,16,Moderate,Severe,Moderate,Moderate,Moderate
695,Sweet Girl,2021,5.5,"25,740","Action, Drama, Thriller",110,Film,R,0,None,Moderate,Moderate,None,Moderate
696,Star Wars: The Clone Wars,2021,8.3,"75,309","Animation, Action, Adventure",23,Series,TV0PG,133,Mild,Moderate,None,Mild,Moderate
697,One Summer,2021,7.3,309,"Drama, Mystery, Romance",84,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
698,Downton Abbey,2019,7.4,"46,222","Drama, Romance",122,Film,PG,0,Mild,None,None,Mild,Mild
699,Miracle Workers,2019,7.1,"12,187","Comedy, Drama, Fantasy",22,Series,TV014,27,Mild,Mild,Mild,Mild,Mild
700,Pride & Prejudice,2005,7.8,"274,365","Drama, Romance",129,Film,PG,0,None,None,None,Mild,None
701,Most Dangerous Game,2005,7,"4,838","Short, Action, Thriller",7,Series,TV0MA,16,None,Severe,Moderate,Mild,Moderate
702,13 Reasons Why,2005,7.5,"271,324","Drama, Mystery, Thriller",60,Series,TV0MA,49,Severe,Severe,Severe,Severe,Severe
703,News of the World,2020,6.8,"76,239","Action, Adventure, Drama",118,Film,PG013,0,None,Mild,Mild,Mild,Mild
704,The Great Gatsby,2013,7.2,"505,143","Drama, Romance",143,Film,PG013,0,Mild,Mild,Mild,Moderate,Mild
705,Night Teeth,2021,No Rate,No Votes,"Action, Crime, Drama",107,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
706,Thalaivi,2021,6.1,"28,148","Biography, Drama",153,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
707,Friday the 13th,2009,5.5,"102,439","Horror, Mystery, Thriller",97,Film,R,0,Severe,Severe,Severe,Severe,Severe
708,The Green Mile,1999,8.6,"1,207,936","Crime, Drama, Fantasy",189,Film,R,0,Mild,Severe,Moderate,Mild,Severe
709,Hannibal,1999,8.5,"239,663","Crime, Drama, Horror",44,Series,TV0MA,39,Moderate,Severe,Mild,Mild,Severe
710,Papillon,2017,7.2,"66,488","Adventure, Biography, Crime",133,Film,R,0,Moderate,Severe,Moderate,Mild,Moderate
711,The Texas Chain Saw Massacre,1974,7.5,"147,052",Horror,83,Film,R,0,None,Moderate,Mild,Mild,Severe
712,Fleabag,1974,8.7,"123,036","Comedy, Drama",27,Series,TV0MA,12,Moderate,Mild,Severe,Moderate,Mild
713,Official Secrets,2019,7.3,"41,558","Biography, Crime, Drama",112,Film,R,0,Mild,None,Moderate,None,Mild
714,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,"1,047,410","Action, Adventure, Fantasy",143,Film,PG013,0,Mild,Moderate,Mild,Moderate,Moderate
715,Battlestar Galactica,2003,8.7,"158,365","Action, Adventure, Drama",44,Series,TV014,74,Moderate,Moderate,Mild,Mild,Moderate
716,Pretty Little Liars,2003,7.4,"157,955","Drama, Mystery, Romance",44,Series,TV014,160,Mild,Moderate,Mild,Mild,Moderate
717,Man of Steel,2013,7,"731,861","Action, Adventure, Sci0Fi",143,Film,PG013,0,None,Moderate,Mild,Mild,Moderate
718,Live by Night,2016,6.4,"55,020","Action, Crime, Drama",129,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
719,In Time,2011,6.7,"389,523","Action, Sci0Fi, Thriller",109,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
720,The Social Network,2010,7.7,"656,645","Biography, Drama",120,Film,PG013,0,Moderate,None,Moderate,Moderate,Mild
721,Hamilton,2020,8.4,"74,919","Biography, Drama, History",160,Film,PG013,0,Mild,Mild,Moderate,Mild,Mild
722,Raised by Wolves,2020,7.5,"57,754","Drama, Fantasy, Sci0Fi",None,Series,TV0MA,11,Mild,Severe,Mild,Mild,Moderate
723,Queen of the South,2020,8,"24,795","Action, Crime, Drama",42,Series,TV0MA,62,Mild,Severe,Severe,Severe,Severe
724,Power Book III: Raising Kanan,2020,7.3,"1,987","Crime, Drama",60,Series,TV0MA,11,Severe,Severe,Severe,Severe,Moderate
725,Injustice,2021,No Rate,No Votes,"Animation, Action, Adventure",78,Film,R,0,No Rate,No Rate,No Rate,No Rate,No Rate
726,Halloween H20: 20 Years Later,1998,5.8,"69,868","Horror, Thriller",86,Film,R,0,Mild,Severe,Moderate,Mild,Severe
727,The Big Short,2015,7.8,"392,393","Biography, Comedy, Drama",130,Film,R,0,Moderate,None,Severe,Mild,Mild
728,Prometheus,2012,7,"585,488","Adventure, Mystery, Sci0Fi",124,Film,R,0,Mild,Severe,Moderate,Mild,Severe
729,Project X,2012,6.6,"197,140",Comedy,88,Film,R,0,Severe,Moderate,Severe,Severe,Moderate
730,The Sixth Sense,1999,8.1,"944,500","Drama, Mystery, Thriller",107,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
731,From Russia with Love,1963,7.4,"126,977","Action, Adventure, Thriller",115,Film,PG,0,Mild,Moderate,Mild,Mild,Mild
732,Never Have I Ever,1963,7.8,"39,948","Comedy, Drama",30,Series,TV014,21,Mild,None,Mild,Mild,None
733,The Good Fight,1963,8.3,"23,452","Crime, Drama",45,Series,TV0MA,51,Moderate,No Rate,Moderate,Mild,Mild
734,Dear White People,1963,6.2,"24,125","Comedy, Drama",30,Series,TV0MA,40,Moderate,No Rate,Moderate,Moderate,No Rate
735,"Roswell, New Mexico",1963,6.3,"10,566","Drama, Romance, Sci0Fi",45,Series,TV014,42,Mild,Moderate,Mild,Mild,Mild
736,Sweet Tooth,1963,7.9,"43,329","Action, Adventure, Drama",None,Series,TV014,16,None,Mild,Mild,None,Mild
737,Pose,1963,8.6,"25,107",Drama,60,Series,TV0MA,26,Moderate,Mild,Severe,Severe,Mild
738,Dawson's Creek,1963,6.7,"39,015","Drama, Romance",60,Series,TV014,128,Mild,Mild,Mild,Mild,Mild
739,Nocturnal Animals,2016,7.5,"254,129","Drama, Thriller",116,Film,R,0,Moderate,Moderate,Moderate,Mild,Severe
740,The Man in the High Castle,2016,8,"93,803","Drama, Sci0Fi, Thriller",60,Series,TV0MA,40,Moderate,Severe,Moderate,Moderate,Moderate
741,Mars Attacks!,1996,6.3,"218,403","Comedy, Sci0Fi",106,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
742,The Devil All the Time,2020,7.1,"113,731","Crime, Drama, Thriller",138,Film,R,0,Moderate,Severe,Moderate,Mild,Severe
743,Sen to Chihiro no kamikakushi,2001,8.6,"697,008","Animation, Adventure, Family",125,Film,PG,0,None,Mild,None,Mild,Moderate
744,Practical Magic,1998,6.3,"76,854","Comedy, Drama, Fantasy",104,Film,PG013,0,Mild,Mild,Moderate,Mild,Moderate
745,Love,2015,6.1,"53,341","Drama, Romance",135,Film,TV0MA,0,Severe,Mild,Severe,Severe,Mild
746,Cheers,2015,7.9,"50,874","Comedy, Drama",22,Series,TV0PG,271,Mild,Mild,Mild,Mild,None
747,The Flash,2022,No Rate,No Votes,"Action, Adventure, Fantasy",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
748,Chilling Adventures of Sabrina,2022,7.5,"84,864","Drama, Fantasy, Horror",60,Series,TV014,36,Mild,Moderate,Mild,Mild,Severe
749,The Lost Boys,1987,7.3,"132,494","Comedy, Horror",97,Film,R,0,Mild,Moderate,Mild,Mild,Moderate
750,Chaos Walking,2021,5.7,"33,697","Action, Adventure, Fantasy",109,Film,PG013,0,Mild,Moderate,Mild,None,Moderate
751,The Cabin in the Woods,2011,7,"394,326","Horror, Mystery, Thriller",95,Film,R,0,Moderate,Severe,Moderate,Moderate,Severe
752,Troy,2004,7.3,"507,919","Drama, History",163,Film,R,0,Moderate,Severe,Mild,Mild,Moderate
753,Saved by the Bell,2004,7,"33,711","Comedy, Family, Romance",30,Series,TV0PG,86,None,None,No Rate,Mild,None
754,Jumanji: The Next Level,2019,6.7,"216,424","Action, Adventure, Comedy",123,Film,PG013,0,Mild,Mild,Moderate,None,Moderate
755,Taxi Driver,1976,8.2,"764,376","Crime, Drama",114,Film,R,0,Moderate,Severe,Severe,Moderate,Severe
756,Halloween Ends,2022,No Rate,No Votes,"Horror, Thriller",None,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
757,Spiral: From the Book of Saw,2021,5.3,"37,402","Crime, Horror, Mystery",93,Film,R,0,None,Severe,Severe,Mild,Severe
758,Our Kind of People,2021,5,687,Drama,None,Series,TV014,5,No Rate,No Rate,No Rate,No Rate,No Rate
759,I Know What You Did Last Summer,1997,5.7,"139,464","Horror, Mystery",101,Film,R,0,Mild,Severe,Severe,Mild,Moderate
760,Tokyo Revengers,1997,8.4,"6,876","Animation, Action, Drama",24,Series,TV014,25,Mild,Moderate,Mild,Mild,Moderate
761,Motherland: Fort Salem,1997,7.3,"11,423","Drama, Fantasy, Sci0Fi",42,Series,TV014,22,Mild,Moderate,Mild,Mild,Moderate
762,Nightcrawler,2014,7.8,"497,755","Crime, Drama, Thriller",117,Film,R,0,None,Moderate,Severe,Mild,Moderate
763,Malcolm in the Middle,2014,8,"123,418","Comedy, Family",22,Series,TV0PG,151,Mild,Mild,Mild,Mild,None
764,After We Collided,2020,5.2,"25,369","Drama, Romance",105,Film,R,0,Moderate,Mild,Moderate,Moderate,Mild
765,The Twilight Zone,2020,9,"76,381","Drama, Fantasy, Horror",51,Series,TV0PG,156,None,Mild,Mild,Mild,Moderate
766,Black Swan,2010,8,"725,939","Drama, Thriller",108,Film,R,0,Severe,Severe,Moderate,Moderate,Severe
767,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020,6.1,"210,807","Action, Adventure, Comedy",109,Film,R,0,Mild,Severe,Severe,Moderate,Moderate
768,The Greatest Showman,2017,7.6,"257,193","Biography, Drama, Musical",105,Film,PG,0,None,Mild,None,Mild,Mild
769,Scarface,1983,8.3,"781,141","Crime, Drama",170,Film,R,0,Moderate,Severe,Severe,Severe,Severe
770,Requiem for a Dream,2000,8.3,"797,796",Drama,102,Film,Unrated,0,Severe,Severe,Severe,Severe,Severe
771,Tacoma FD,2000,8.1,"3,920",Comedy,30,Series,TV014,30,Mild,Mild,Moderate,Mild,None
772,All American,2000,7.6,"8,663","Drama, Sport",45,Series,TV014,53,Mild,Moderate,Mild,Moderate,Mild
773,The Americans,2000,8.4,"91,114","Crime, Drama, Mystery",44,Series,TV0MA,75,Moderate,Moderate,Mild,Mild,Moderate
774,3%,2000,7.4,"23,644","Action, Drama, Sci0Fi",49,Series,TV0MA,33,Mild,Moderate,Moderate,Mild,Moderate
775,Unforgotten,2000,8.3,"19,048","Crime, Drama, Mystery",45,Series,TV0MA,30,Mild,Moderate,Moderate,Mild,Moderate
776,The Haunted Mansion,2003,5.1,"46,587","Comedy, Family, Fantasy",99,Film,PG,0,None,Mild,Mild,Mild,Moderate
777,West Side Story,2021,No Rate,No Votes,"Crime, Drama, Musical",None,Film,PG013,0,No Rate,No Rate,No Rate,No Rate,No Rate
778,American Beauty,1999,8.3,"1,106,814",Drama,122,Film,R,0,Severe,Moderate,Severe,Moderate,Moderate
779,Mumbai Diaries 26/11,1999,8.8,"26,527","Drama, Thriller",None,Series,TV0MA,8,Mild,Severe,Severe,Mild,Severe
780,Sleepy Hollow,1999,7.3,"344,487","Fantasy, Horror, Mystery",105,Film,R,0,Mild,Severe,None,Mild,Moderate
781,Halloween II,2009,4.8,"51,201",Horror,105,Film,R,0,Severe,Severe,Severe,Moderate,Severe
782,Legally Blonde,2001,6.4,"200,635","Comedy, Romance",96,Film,PG013,0,Mild,Mild,Mild,None,None
783,Gossip Girl,2001,5.3,"6,507","Drama, Romance",60,Series,TV0MA,14,Moderate,None,Mild,Moderate,None
784,Ex Machina,2014,7.7,"503,935","Drama, Sci0Fi, Thriller",108,Film,R,0,Moderate,Moderate,Moderate,Moderate,Moderate
785,Snowpiercer,2014,6.9,"41,412","Action, Drama, Sci0Fi",60,Series,TV0MA,31,Moderate,Severe,Moderate,Mild,Moderate
786,Last Man Standing,2014,7.5,"31,648",Comedy,30,Series,TV0PG,194,None,None,Mild,Mild,No Rate
787,Narcos: MÃ©xico,2014,8.4,"66,885","Crime, Drama",50,Series,TV0MA,29,Severe,Severe,Severe,Severe,Severe
788,"Love, Death & Robots",2014,8.5,"124,835","Animation, Short, Action",15,Series,TV0MA,26,Severe,Severe,Severe,Moderate,Moderate
789,Harry Potter and the Chamber of Secrets,2002,7.4,"584,281","Adventure, Family, Fantasy",161,Film,PG,0,None,Mild,Mild,None,Moderate
790,Mythic Quest: Raven's Banquet,2002,7.7,"17,366",Comedy,30,Series,TV0MA,20,Mild,Mild,Severe,Mild,None
791,Saw,2004,7.6,"398,328","Horror, Mystery, Thriller",103,Film,R,0,Mild,Severe,Severe,Mild,Severe
792,Good Will Hunting,1997,8.3,"903,784","Drama, Romance",126,Film,R,0,Mild,Mild,Severe,Mild,Mild
793,Halloween: Resurrection,2002,4,"40,340","Horror, Thriller",94,Film,R,0,Mild,Severe,Severe,Mild,Moderate
794,Psycho,1960,8.5,"632,885","Horror, Mystery, Thriller",109,Film,R,0,Mild,Moderate,None,None,Moderate
795,"Doogie Kamealoha, M.D.",1960,5.8,"1,023","Comedy, Drama, Family",30,Series,TV0PG,10,No Rate,No Rate,No Rate,No Rate,No Rate
796,Hacksaw Ridge,2016,8.1,"470,213","Biography, Drama, History",139,Film,R,0,Mild,Severe,Mild,Mild,Severe
797,The Revenant,2015,8,"745,279","Action, Adventure, Drama",156,Film,R,0,Mild,Severe,Moderate,Mild,Severe
798,Fear Street: 1978,2021,6.7,"50,405","Drama, Horror, Mystery",109,Film,R,0,Moderate,Severe,Moderate,Moderate,Severe
799,Coraline,2009,7.7,"209,543","Animation, Drama, Family",100,Film,PG,0,Mild,Mild,Mild,None,Moderate
800,Vivo,2021,6.7,"13,103","Animation, Adventure, Comedy",95,Film,PG,0,None,None,None,None,None
801,The Nevers,2021,7.4,"17,975","Action, Drama, Fantasy",58,Series,TV0MA,12,Moderate,Moderate,Moderate,Mild,Moderate
802,The Conners,2021,5.3,"9,265",Comedy,30,Series,TV0PG,57,Mild,None,Mild,Mild,Mild
803,Van Helsing,2004,6.1,"254,911","Action, Adventure, Fantasy",131,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
804,Baywatch,2004,5.3,"26,458","Action, Adventure, Crime",60,Film,PG013,0,Mild,Moderate,Mild,Mild,Moderate
805,Logan,2017,8.1,"691,288","Action, Drama, Sci0Fi",137,Film,R,0,Mild,Severe,Severe,Moderate,Severe
806,Jojo Rabbit,2019,7.9,"341,408","Comedy, Drama, War",108,Film,PG013,0,None,Mild,Moderate,Mild,Moderate
807,Fantasy Island,2019,6,"2,555","Adventure, Drama, Fantasy",None,Series,TV014,8,No Rate,No Rate,No Rate,No Rate,No Rate
808,Dazed and Confused,1993,7.6,"174,514",Comedy,102,Film,R,0,Mild,Mild,Severe,Severe,None
809,The Chair,1993,7.2,"12,099","Comedy, Drama",30,Series,TV0MA,6,Mild,None,Moderate,Moderate,None
810,One Hour Photo,2002,6.8,"119,154","Drama, Thriller",96,Film,R,0,Severe,Moderate,Moderate,Mild,Moderate
811,Walker,2002,6.1,"7,858","Action, Crime, Drama",None,Series,TV014,20,Mild,Moderate,Mild,Mild,No Rate
812,Top Gun,1986,6.9,"311,891","Action, Drama",110,Film,PG,0,Mild,Mild,Moderate,Mild,Mild
813,Idi i smotri,1985,8.3,"68,644","Drama, Thriller, War",142,Film,Not Rated,0,Moderate,Severe,Mild,Mild,Severe
814,The Larkins,1985,4.8,303,"Comedy, Drama",None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
815,Six Feet Under,1985,8.7,"127,144","Comedy, Drama",60,Series,TV0MA,63,Moderate,Moderate,Severe,Severe,Moderate
816,Men in Black,1997,7.3,"537,337","Action, Adventure, Comedy",98,Film,PG013,0,Mild,Moderate,Moderate,Mild,Mild
817,The Lord of the Rings: The Return of the King,2003,8.9,"1,715,063","Action, Adventure, Drama",201,Film,PG013,0,None,Moderate,None,Mild,Moderate
818,Britannia,2003,6.8,"13,974","Action, Drama, Fantasy",60,Series,TV0MA,27,Moderate,Severe,Severe,Mild,Moderate
819,Small Engine Repair,2021,6.6,985,"Comedy, Drama, Thriller",102,Film,R,0,Severe,Moderate,Severe,Moderate,Moderate
820,Toma,2021,9.3,"5,562","Biography, Drama, Music",140,Film,None,0,No Rate,No Rate,No Rate,No Rate,No Rate
821,The Lord of the Rings,2021,No Rate,No Votes,"Action, Adventure, Drama",None,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate
822,Star Wars,1977,8.6,"1,280,508","Action, Adventure, Fantasy",121,Film,PG,0,None,Mild,None,Mild,Mild
823,The Stand,1977,5.5,"21,306","Adventure, Drama, Fantasy",510,Series,TV0MA,9,Moderate,Severe,Severe,Moderate,Severe
824,The Wonder Years,1977,8.3,"36,046","Comedy, Drama, Family",22,Series,TV0PG,115,None,None,None,None,None
825,Death Note: Desu nÃ´to,1977,9,"272,380","Animation, Crime, Drama",24,Series,TV014,37,Mild,Moderate,Mild,Mild,Severe
826,MacGyver,1977,5.4,"19,592","Action, Adventure, Drama",43,Series,TV014,95,None,Moderate,Mild,Mild,Mild
827,On the Verge,1977,6.5,"2,065",Comedy,35,Series,TV014,12,Moderate,None,No Rate,No Rate,None
828,Clueless,1995,6.9,"198,808","Comedy, Romance",97,Film,PG013,0,Mild,None,Mild,Mild,None
829,Baby Driver,2017,7.6,"480,085","Action, Crime, Drama",113,Film,R,0,None,Moderate,Severe,Mild,Moderate
